# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	2518
#@/user_id	win-config
a 	啊	c=5 d=1.30504 t=2518
qie huan 	切換	c=3 d=1.08772 t=2221
qing 	請	c=2 d=1.91851 t=1405
qing chu 	清除	c=1 d=1 t=2322
qing kuang 	情況	c=2 d=0.628135 t=2518
qing qiu 	請求	c=4 d=0.588605 t=2518
qing yong 	請用	c=1 d=1 t=1983
qu 	去	c=3 d=1.38255 t=2518
qu 	取	c=0 d=0.1 t=1243
qu bie 	區別	c=4 d=1.5312 t=1679
qu chong 	去重	c=1 d=1 t=1076
qu chong fu 	去重複	c=1 d=1 t=1060
qu fen 	區分	c=2 d=0.932394 t=2518
qu shang xue 	去上學	c=1 d=0.826959 t=2518
qu xiao 	取消	c=2 d=1.90484 t=1159
qu yi ge 	取一個	c=1 d=1 t=1244
qu yi yuan 	去醫院	c=2 d=0.652368 t=2518
qu yu 	區域	c=1 d=1 t=1424
quan ju 	全局	c=1 d=1 t=2146
quan xian 	權限	c=1 d=1 t=2044
que bao 	確保	c=1 d=1 t=1389
que ding 	確定	c=1 d=1 t=1421
que ren 	確認	c=1 d=1 t=1030
rang 	讓	c=3 d=0.826959 t=2518
rang ta men 	讓他們	c=1 d=1 t=2073
ren 	人	c=1 d=1 t=2385
ren dai 	韌帶	c=1 d=1 t=1695
ren he 	任何	c=1 d=1 t=1608
ren lei 	人類	c=1 d=0.447088 t=2518
ren wu 	任務	c=2 d=0.355226 t=2518
ren yi 	任意	c=1 d=0.117655 t=2518
ri bao 	日報	c=4 d=1.22868 t=2518
ri zhi 	日誌	c=2 d=1.24293 t=2297
ru chang 	入場	c=2 d=0.624226 t=2518
ru guo 	如果	c=3 d=1.29889 t=2292
ru he 	如何	c=61 d=4.44995 t=2518
ru wei 	入位	c=5 d=1.7788 t=2518
ru xia 	如下	c=3 d=1.85699 t=1305
ruan jian 	軟件	c=1 d=1 t=2239
san yuan 	三元	c=2 d=0.811111 t=2518
sao miao 	掃描	c=1 d=1 t=1834
sha 	啥	c=3 d=2.0731 t=2452
shan 	刪	c=1 d=1 t=1862
shan chu 	刪除	c=2 d=1.03652 t=2517
shan diao 	刪掉	c=2 d=0.581851 t=2518
shan dong sheng 	山東省	c=0 d=0.1 t=1365
shan dong sheng dai 	山東省待	c=1 d=1 t=1366
shang 	上	c=11 d=2.01412 t=2518
shang le 	上了	c=1 d=0.767206 t=2518
shang wang 	上網	c=1 d=1 t=2193
shang xia wen 	上下文	c=1 d=1 t=1464
shang xian 	上線	c=2 d=0.947172 t=2518
shao bing 	哨兵	c=1 d=1 t=2397
shao deng 	稍等	c=1 d=0.501576 t=2518
she bei 	設備	c=1 d=1 t=1031
she hui 	社會	c=0 d=0.0909373 t=2518
she hui ting che chang 	社會停車場	c=1 d=0.913931 t=2518
she ji 	設計	c=2 d=0.99005 t=2518
she zhi 	設置	c=3 d=0.67368 t=2518
shen fen 	身份	c=3 d=2.11514 t=2497
shen he 	審覈	c=0 d=0.0726149 t=2518
shen me 	什麼	c=36 d=2.16386 t=2518
shen me shi 	什麼事	c=2 d=0.398519 t=2518
shen me yang 	什麼樣	c=2 d=1.25924 t=1485
shen me yong 	什麼用	c=1 d=1 t=2095
sheng cheng 	生成	c=5 d=1.06709 t=2518
sheng xiao 	生效	c=1 d=0.731745 t=2518
shi 	使	c=3 d=1.013 t=2402
shi 	是	c=56 d=5.81527 t=2518
shi 	時	c=19 d=2.2777 t=2518
shi 	試	c=1 d=0.778801 t=2518
shi bai 	失敗	c=6 d=1.5457 t=2518
shi bu shi 	是不是	c=3 d=1.2133 t=2474
shi duan 	時段	c=1 d=0.628135 t=2518
shi fou 	是否	c=12 d=0.968418 t=2518
shi hou 	時候	c=5 d=2.17665 t=2518
shi ji 	實際	c=1 d=0.394554 t=2518
shi jian 	事件	c=1 d=1 t=2112
shi jian 	時間	c=9 d=0.656696 t=2518
shi peng 	世鵬	c=2 d=1.04832 t=1620
shi qu 	時區	c=2 d=1.99005 t=2225
shi shen me 	是什麼	c=1 d=0.937067 t=2518
shi shi 	實施	c=1 d=0.371577 t=2518
shi shi 	試試	c=0 d=0.0126186 t=2518
shi shi zhe ge 	試試這個	c=1 d=0.126818 t=2518
shi shou 	實收	c=2 d=0.514274 t=2518
shi wu 	事務	c=3 d=2.98012 t=1982
shi wu 	事物	c=3 d=2.86018 t=1978
shi xian 	實現	c=3 d=1.25492 t=1459
shi xiao 	失效	c=3 d=0.965605 t=2518
shi yong 	使用	c=34 d=1.90218 t=2518
shi yong 	是用	c=1 d=1 t=1736
shi zhe ge 	是這個	c=1 d=0.612626 t=2518
shou dao 	收到	c=1 d=1 t=2018
shou fei 	收費	c=2 d=0.77699 t=2518
shou ji 	手機	c=2 d=1.92312 t=1408
shou ru 	收入	c=1 d=0.697676 t=2518
shou shi 	手勢	c=1 d=0.45612 t=2518
shu 	數	c=0 d=0.0386741 t=2518
shu ju 	數據	c=12 d=1.76032 t=2518
shu ju ku 	數據庫	c=2 d=1.14156 t=2442
shu liang 	數量	c=1 d=0.718924 t=2518
shu mei 	樹莓	c=0 d=0.0519442 t=2518
shu mei pai 	樹莓派	c=1 d=0.522046 t=2518
shu ru 	輸入	c=1 d=0.00909528 t=2518
shu ru fa 	輸入法	c=1 d=0.357007 t=2518
shu xing 	屬性	c=3 d=2.76993 t=1126
shu zi 	數字	c=3 d=0.532622 t=2518
shu zu 	數組	c=4 d=1.15493 t=2143
shuang 	雙	c=1 d=1 t=2462
shuang yin hao 	雙引號	c=1 d=1 t=2138
shui 	誰	c=5 d=0.831104 t=2518
shun xu 	順序	c=1 d=1 t=1817
shuo 	說	c=1 d=1 t=1188
shuo fa 	說法	c=1 d=1 t=1231
shuo guo 	說過	c=1 d=0.537944 t=2518
shuo ming 	說明	c=3 d=1 t=2518
shuo shi 	碩士	c=3 d=1.0262 t=2482
sou gou 	搜狗	c=1 d=0.985112 t=2518
sui bian 	隨便	c=1 d=0.657047 t=2518
suo 	鎖	c=4 d=0.972612 t=2518
suo yi 	所以	c=1 d=0.66365 t=2518
suo you 	所有	c=4 d=2.34153 t=2323
suo zai 	所在	c=1 d=1 t=2048
ta 	他	c=2 d=0.900325 t=2518
ta yi jing 	他已經	c=1 d=1 t=1023
tai gui le 	太貴了	c=1 d=1 t=2372
tai qing chu 	太清楚	c=0 d=0.1 t=1700
tai yang 	太陽	c=2 d=0.872981 t=2518
tan suo 	探索	c=1 d=1 t=2425
teng xun 	騰訊	c=1 d=1 t=2518
ti dai 	替代	c=1 d=1 t=1622
ti gong 	提供	c=2 d=1.4607 t=1884
ti jiao 	提交	c=4 d=2.00617 t=1980
ti qu 	提取	c=1 d=1 t=1042
ti shi 	提示	c=5 d=1.10748 t=2158
tian jia 	添加	c=1 d=1 t=991
tian ti 	天梯	c=1 d=1 t=2212
tian ya le 	田亞樂	c=2 d=1.99501 t=2315
tiao 	條	c=1 d=1 t=1996
tiao guo 	跳過	c=1 d=1 t=2233
tiao jian 	條件	c=1 d=1 t=1605
tiao shi 	調試	c=1 d=1 t=2302
ting 	停	c=1 d=1 t=2484
ting che chang 	停車場	c=0 d=0.0909373 t=2518
tong bu 	同步	c=5 d=0.10383 t=2518
tong chang 	通常	c=1 d=0.489192 t=2518
tong guo 	通過	c=7 d=1.02434 t=2518
tong ji 	統計	c=1 d=1 t=1683
tong xue 	同學	c=1 d=1 t=2388
tong yi 	同一	c=1 d=1 t=2177
tou 	頭	c=1 d=0.418952 t=2518
tu 	圖	c=3 d=1.23826 t=2421
tu biao 	圖標	c=1 d=1 t=2428
tu pian 	圖片	c=1 d=1 t=1706
tuan dui 	團隊	c=1 d=1 t=2031
tui chu 	推出	c=1 d=0.110803 t=2518
tui chu 	退出	c=1 d=0.111359 t=2518
tui shao 	退燒	c=1 d=0.238115 t=2518
tui song 	推送	c=1 d=1 t=1891
wai bu 	外部	c=3 d=0.559898 t=2518
wai wang 	外網	c=1 d=1 t=2179
wai zhou xue 	外周血	c=1 d=0.133989 t=2518
wan 	完	c=0 d=0.0108609 t=2518
wan cheng 	完成	c=4 d=1.19524 t=2518
wan shang 	晚上	c=1 d=0.235746 t=2518
wan zheng 	完整	c=1 d=1 t=1589
wang guan 	網關	c=1 d=1 t=1664
wang ka 	網卡	c=2 d=0.220972 t=2518
wei 	未	c=5 d=0.410369 t=2518
wei 	爲	c=4 d=0.697703 t=2518
wei shen he 	未審覈	c=1 d=0.729789 t=2518
wei shen me 	爲什麼	c=5 d=0.486752 t=2518
wei ti ji 	未提及	c=1 d=1 t=1579
wei yang 	未央	c=2 d=1.15724 t=2394
wei zhi 	位置	c=2 d=1.97531 t=2518
wen an 	文案	c=1 d=1 t=2446
wen dang 	文檔	c=2 d=0.869358 t=2518
wen ding 	穩定	c=1 d=1 t=1640
wen jian 	文件	c=17 d=1.77232 t=2518
wen jian jia 	文件夾	c=2 d=1.0067 t=2275
wen ni 	問你	c=1 d=1 t=1786
wen ti 	問題	c=10 d=1.06665 t=2518
wen wen 	問問	c=5 d=0.950821 t=2518
wen zhang 	文章	c=1 d=1 t=1928
wo 	我	c=1 d=0.50409 t=2518
wo bu 	我不	c=0 d=0.1 t=1700
wo bu qing chu 	我不清楚	c=4 d=0.786628 t=2518
wo bu shi 	我不是	c=1 d=1 t=971
wo bu tai qing chu 	我不太清楚	c=1 d=1 t=1701
wo cha 	我查	c=1 d=1 t=2373
wo gai 	我該	c=1 d=1 t=1319
wo kan 	我看	c=1 d=0.532592 t=2518
wo ke yao 	我可要	c=1 d=0.704688 t=2518
wo men 	我們	c=2 d=1.7788 t=1789
wo xian 	我先	c=1 d=1 t=1509
wo xu yao 	我需要	c=1 d=1 t=1236
wo zhi 	我只	c=0 d=0.1 t=2440
wo zhi jie 	我只接	c=1 d=1 t=2441
wu chu 	誤觸	c=1 d=0.458406 t=2518
wu fa 	無法	c=3 d=1.14034 t=2331
wu pai 	無牌	c=0 d=0.0506617 t=2518
wu pai che 	無牌車	c=1 d=0.509156 t=2518
wu xu 	無需	c=1 d=1 t=990
wu yi 	五一	c=1 d=0.390628 t=2518
xi 	西	c=1 d=0.460704 t=2518
xi tong 	系統	c=3 d=0.839457 t=2518
xi wang 	希望	c=1 d=1 t=2293
xi xian 	西鹹	c=3 d=0.463013 t=2518
xia 	下	c=6 d=0.631284 t=2518
xia jia 	下架	c=1 d=0.138761 t=2518
xia zai 	下載	c=4 d=0.296027 t=2518
xian 	先	c=1 d=0.340508 t=2118
xian cheng 	線程	c=7 d=3.89294 t=2419
xian ka 	顯卡	c=1 d=1 t=2211
xian liu 	限流	c=1 d=0.852144 t=2518
xian shi 	顯示	c=5 d=1.88183 t=2518
xian zai 	現在	c=4 d=1.31584 t=2518
xian zhi fu 	先支付	c=1 d=1 t=2119
xiang 	像	c=1 d=1 t=1008
xiang 	想	c=1 d=1 t=2438
xiang dui 	相對	c=1 d=0.499074 t=2518
xiang fan 	相反	c=1 d=1 t=2410
xiang mu 	項目	c=9 d=0.465334 t=2518
xiang qu 	想去	c=0 d=0.1 t=2339
xiang shi 	像是	c=1 d=1 t=1831
xiang tong 	相同	c=2 d=0.180933 t=2518
xiang ying 	響應	c=1 d=0.170407 t=2518
xiang ying bao 	響應包	c=1 d=0.14808 t=2518
xiao 	小	c=2 d=0.946485 t=2518
xiao cheng xu 	小程序	c=1 d=0.137381 t=2518
xiao er mei 	小而美	c=1 d=1 t=1537
xiao lang hao 	小狼毫	c=5 d=1.87435 t=2518
xiao shi 	小時	c=1 d=1 t=1148
xiao xi 	消息	c=1 d=1 t=1370
xiao yu zhou 	小宇宙	c=1 d=1 t=2226
xie 	寫	c=4 d=0.928959 t=2518
xie ru 	寫入	c=1 d=0.124307 t=2518
xie si 	寫死	c=1 d=1 t=1011
xie xie 	謝謝	c=1 d=1 t=1752
xie yi 	協議	c=2 d=0.104874 t=2518
xie yi ge 	寫一個	c=2 d=1.956 t=1550
xie zhu 	協助	c=3 d=0.516996 t=2518
xin 	新	c=1 d=1 t=2062
xin de 	新的	c=1 d=0.285076 t=2518
xin jia po 	新加坡	c=1 d=1 t=2377
xin neng yuan 	新能源	c=2 d=1.94176 t=2488
xin xi 	信息	c=5 d=0.883293 t=2518
xin yu 	新余	c=1 d=0.194952 t=2518
xing neng 	性能	c=1 d=1 t=1193
xing shi 	形式	c=1 d=1 t=1776
xing tai 	邢臺	c=2 d=1.0296 t=2391
xiu gai 	修改	c=10 d=0.932316 t=2518
xu ni 	虛擬	c=1 d=0.173774 t=2518
xu ni ji 	虛擬機	c=1 d=1 t=1461
xu qiu 	需求	c=1 d=0.465334 t=2518
xu yao 	需要	c=9 d=2.28746 t=2358
xuan ding 	選定	c=1 d=1 t=2266
xue xi 	學習	c=1 d=1 t=1875
xun huan 	循環	c=4 d=1.78625 t=2333
ya guang 	亞光	c=1 d=0.451581 t=2518
yan se 	顏色	c=1 d=0.97531 t=2518
yan zhong 	嚴重	c=1 d=0.436049 t=2518
yang shi 	樣式	c=2 d=1.91751 t=2518
yao 	要	c=3 d=0.869358 t=2518
yao ban 	耀斑	c=3 d=1.31779 t=2518
yao bu 	要不	c=2 d=1.01477 t=2360
yao bu yao 	要不要	c=1 d=0.612626 t=2518
yao shi 	要是	c=1 d=1 t=2195
ye 	也	c=2 d=0.759572 t=2518
ye mian 	頁面	c=4 d=1.80909 t=2518
ye wu 	業務	c=1 d=1 t=1711
yi 	以	c=5 d=0.343009 t=2518
yi 	已	c=1 d=1.00141 t=1802
yi ban 	一半	c=1 d=1 t=1868
yi ban 	一般	c=3 d=2.27164 t=1217
yi bu 	異步	c=3 d=2.84706 t=1384
yi chang 	異常	c=2 d=0.597501 t=2518
yi ci 	一次	c=3 d=1.55078 t=2518
yi duan 	一段	c=1 d=1 t=2185
yi ge 	一個	c=28 d=2.21819 t=2518
yi ge yong hu 	一個用戶	c=1 d=1 t=1935
yi jing 	已經	c=1 d=0.392586 t=2518
yi lai 	依賴	c=2 d=1.99005 t=1431
yi qi 	一起	c=1 d=0.763379 t=2518
yi shang xian 	已上線	c=2 d=1.97531 t=956
yi si 	意思	c=12 d=0.982145 t=2518
yi wan cheng 	已完成	c=2 d=0.373439 t=2518
yi xia 	一下	c=4 d=1.39695 t=2518
yi xia 	以下	c=6 d=1.51788 t=2518
yi yang 	一樣	c=2 d=1.02096 t=1735
yi yuan 	醫院	c=1 d=0.0240508 t=2518
yi zhang 	一張	c=1 d=1 t=1705
yi zhi 	一致	c=2 d=0.548812 t=2518
yin hao 	引號	c=1 d=1 t=1059
yin qing 	引擎	c=2 d=1.31982 t=2037
yin yong 	引用	c=2 d=1.96561 t=2334
yin yue 	音樂	c=0 d=0.0423162 t=2518
ying jian 	硬件	c=1 d=0.860708 t=2518
ying wen 	英文	c=3 d=0.460704 t=2518
ying xiang 	影響	c=4 d=0.927743 t=2518
ying yong 	應用	c=3 d=2.04252 t=1748
ying yu 	英語	c=1 d=1 t=1223
yong 	用	c=8 d=1.86202 t=2518
yong de 	用的	c=1 d=1 t=975
yong hu 	用戶	c=3 d=0.995012 t=2518
you 	有	c=26 d=2.78818 t=2518
you 	鈾	c=1 d=0.128093 t=2518
you bian 	右邊	c=1 d=1 t=2208
you ding dan 	有訂單	c=1 d=1 t=2479
you duo shao 	有多少	c=1 d=1 t=1997
you ge 	有個	c=3 d=1.01128 t=2110
you guo 	有過	c=1 d=1 t=2516
you le 	有了	c=1 d=0.172907 t=2518
you mei you 	有沒有	c=2 d=0.798516 t=2518
you ren 	有人	c=1 d=1 t=1842
you sha 	有啥	c=1 d=1 t=2057
you shang jiao 	右上角	c=1 d=1 t=1002
you shen me 	有什麼	c=3 d=1.52287 t=1678
you shi 	有事	c=1 d=1 t=2429
you shi hou 	有時候	c=1 d=1 t=2198
you xi 	遊戲	c=2 d=1.14016 t=2427
you xiao 	有效	c=1 d=1 t=1822
yu 	渝	c=1 d=1 t=2478
yu 	與	c=1 d=0.878095 t=2518
yu fa 	語法	c=1 d=1 t=2131
yu yan 	語言	c=1 d=1 t=2040
yuan cheng 	遠程	c=1 d=1 t=1326
yuan su 	元素	c=2 d=1.03065 t=1765
yuan wen 	原文	c=1 d=0.29523 t=2518
yuan yin 	原因	c=2 d=0.310367 t=2518
yue 	月	c=2 d=1.10322 t=2518
yue fen 	月份	c=1 d=0.377192 t=2518
yun 	雲	c=0 d=0.054998 t=2518
yun yin yue 	雲音樂	c=1 d=0.425283 t=2518
yun ying 	運營	c=4 d=1.22255 t=2518
zai 	再	c=3 d=0.625002 t=2518
zai 	在	c=15 d=2.20946 t=2518
zai bu zai 	在不在	c=1 d=1 t=2432
zai shuo 	再說	c=1 d=1 t=2369
zai xian 	在線	c=2 d=1.96546 t=2518
ze 	則	c=1 d=0.119433 t=2518
zen me 	怎麼	c=4 d=1.1796 t=2518
zen me cha 	怎麼查	c=1 d=1 t=1702
zen me yang 	怎麼樣	c=1 d=1 t=2367
zhang hao 	帳號	c=1 d=1 t=2060
zhao 	找	c=2 d=1.00077 t=2455
zhao dao 	找到	c=1 d=1 t=1781
zhao shui 	找誰	c=1 d=1 t=1015
zhao yi xia 	找一下	c=1 d=0.506617 t=2518
zhe 	者	c=1 d=1 t=1220
zhe 	這	c=3 d=0.937067 t=2518
zhe dao ti 	這道題	c=1 d=1 t=2434
zhe ge 	這個	c=16 d=1.5926 t=2518
zhe ge biao 	這個表	c=1 d=0.923116 t=2518
zhe ju 	這句	c=2 d=1.30119 t=1585
zhe liang tian 	這兩天	c=1 d=0.814647 t=2518
zhe shi 	這是	c=5 d=0.990156 t=2518
zhe xie 	這些	c=3 d=1.24143 t=2205
zhe yang 	這樣	c=1 d=1 t=2008
zhe yi bu 	這一步	c=1 d=1 t=1797
zhe zhong 	這種	c=1 d=0.913931 t=2518
zheng chang 	正常	c=3 d=1.5891 t=2518
zheng zai 	正在	c=2 d=1.00236 t=2243
zheng ze 	正則	c=1 d=0.50409 t=2518
zhi 	值	c=4 d=1.29528 t=2279
zhi 	只	c=1 d=1 t=1591
zhi 	直	c=1 d=1 t=2450
zhi chi 	支持	c=2 d=1.29969 t=2461
zhi ding 	指定	c=5 d=1.09516 t=2518
zhi fu 	支付	c=4 d=1.37262 t=2396
zhi hou 	之後	c=2 d=0.316637 t=2518
zhi jie 	直接	c=3 d=0.159614 t=2518
zhi neng 	只能	c=1 d=1 t=967
zhi qian 	之前	c=6 d=0.891366 t=2518
zhi shi 	只是	c=1 d=0.774916 t=2518
zhi xing 	執行	c=6 d=0.584958 t=2518
zhi xing wan 	執行完	c=1 d=0.109154 t=2518
zhi xu yao 	只需要	c=1 d=0.701173 t=2518
zhi yao 	只要	c=2 d=0.744532 t=2518
zhi you 	只有	c=3 d=0.818731 t=2518
zhong 	中	c=36 d=1.82574 t=2518
zhong duan 	終端	c=1 d=0.351692 t=2518
zhong jian 	中間	c=1 d=0.891366 t=2518
zhong wen 	中文	c=1 d=1 t=1984
zhou yi 	週一	c=1 d=1 t=1545
zhu cong 	主從	c=1 d=1 t=2398
zhu meng 	朱萌	c=1 d=0.579842 t=2518
zhu shi 	註釋	c=1 d=1.09802 t=2135
zhu yao 	主要	c=2 d=1.09827 t=1710
zhu yi 	注意	c=1 d=1 t=1971
zhu zhou 	株洲	c=2 d=0.470011 t=2518
zhuan 	轉	c=2 d=1.12493 t=1363
zhuan fa 	轉發	c=1 d=1 t=2229
zhuan huan 	轉換	c=1 d=0.275271 t=2518
zhuan wei 	轉爲	c=2 d=0.379083 t=2518
zhuang tai 	狀態	c=10 d=1.82335 t=2518
zhui jia 	追加	c=1 d=0.329559 t=2518
zhui su 	追溯	c=1 d=0.810584 t=2518
zhuo mian 	桌面	c=1 d=1 t=2004
zi 	子	c=0 d=0.1 t=1113
zi 	字	c=1 d=0.210174 t=2518
zi dai 	自帶	c=1 d=1 t=973
zi ding yi 	自定義	c=4 d=0.927743 t=2518
zi dong 	自動	c=4 d=0.694197 t=2518
zi duan 	字段	c=1 d=1 t=2508
zi fu chuan 	字符串	c=7 d=1.10609 t=2518
zi ji 	自己	c=2 d=0.474734 t=2518
zi liao 	資料	c=1 d=1 t=2518
zi mian 	字面	c=0 d=0.1 t=1317
zi mian zhi 	字面值	c=1 d=1 t=1318
zi mu 	字母	c=1 d=1 t=1532
zi qiang 	自強	c=1 d=0.778801 t=2518
zi ti 	字體	c=1 d=0.937067 t=2518
zi zu jian 	子組件	c=2 d=1.92774 t=1129
zong 	總	c=1 d=0.67368 t=2518
zu 	組	c=1 d=1 t=2284
zu duan 	阻斷	c=2 d=1.96079 t=2183
zu jian 	組件	c=9 d=0.212248 t=2518
zu jian 	組建	c=1 d=0.211189 t=2518
zui 	最	c=1 d=0.433874 t=2518
zui hao 	最好	c=2 d=0.680451 t=2518
zui hou 	最後	c=1 d=1 t=1511
zui xin 	最新	c=3 d=2.80977 t=1413
zui xin ban 	最新版	c=1 d=1 t=1407
zuo 	做	c=4 d=0.301158 t=2518
zuo cheng 	做成	c=1 d=0.209088 t=2518
zuo de 	做的	c=1 d=1 t=2435
zuo le 	做了	c=1 d=0.782705 t=2518
zuo shen me 	做什麼	c=1 d=1 t=2286
zuo tian 	昨天	c=1 d=0.23457 t=2518
zuo wei 	作爲	c=1 d=0.202909 t=2518
zuo yong 	作用	c=1 d=1 t=1342
